station;station_name;lat;lon;alt;year;month;oni;enso_phase;tmean;tmax;tmin;prec_mm;raindays;pmax24_mm;conc;nValidT;nValidP
A524;FORMIGA;-20,455;-45,45388888;878,14;2020;12;-1.08;LN;22.72;28.23;18.83;3.8;1;3.6;0.947;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;01;-0.91;LN;23.67;29.54;18.79;NaN;NaN;NaN;;31;0
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;02;-0.79;LN;22.55;28.27;18.67;129.4;9;27.4;0.212;28;28
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;03;-0.71;LN;23.19;29.55;18.07;104.8;8;33.8;0.323;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;04;-0.55;LN;20.84;28.16;14.56;NaN;NaN;NaN;;30;0
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;05;-0.39;neutral;19.72;26.95;13.82;56;6;31.2;0.557;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;06;-0.3;neutral;17.99;25.19;11.82;1.2;0;0.4;0.333;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;07;-0.35;neutral;16.54;24.7;8.64;0;0;0;;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;08;-0.45;neutral;20.06;27.27;12.53;2;1;2;1;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;09;-0.63;LN;24.66;32.4;17.19;0.6;0;0.4;0.667;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;10;-0.76;LN;22.22;27.83;17.89;315;17;46.4;0.147;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;11;-0.91;LN;22.46;28.26;17.6;206;11;40.8;0.198;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2021;12;-0.87;LN;22.32;27.55;18.41;294.2;13;83.2;0.283;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;01;-0.82;LN;NaN;NaN;NaN;NaN;NaN;NaN;;19;19
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;02;-0.79;LN;NaN;NaN;NaN;NaN;NaN;NaN;;3;3
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;03;-0.86;LN;23.89;29.91;18.68;68.8;7;33.8;0.491;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;04;-0.95;LN;22.29;28.53;16.97;39.2;5;16.2;0.413;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;05;-0.9;LN;18.34;24.96;12.5;28.2;2;22.8;0.809;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;06;-0.78;LN;17.97;25.2;11.68;0.2;0;0.2;1;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;07;-0.76;LN;18.9;26.27;11.55;0;0;0;;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;08;-0.87;LN;19.57;26.49;12.59;7.4;1;7.4;1;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;09;-0.97;LN;21.77;28.52;15.41;60.2;3;27.6;0.458;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;10;-0.94;LN;23.13;29.51;17.72;130.4;9;38;0.291;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;11;-0.85;LN;21.16;26.98;16.6;82.6;12;17.6;0.213;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2022;12;-0.71;LN;21.76;26.72;18.53;326.2;21;62.4;0.191;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;01;-0.54;LN;22.07;27.25;18.75;439.6;24;60;0.136;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;02;-0.29;neutral;23.52;29.66;19.08;104;10;24;0.231;28;28
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;03;-0.02;neutral;23.48;29.58;18.72;37.4;10;7.2;0.193;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;04;0.27;neutral;21.39;27.29;16.79;78;8;25.8;0.331;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;05;0.57;EN_weakmod;18.81;25.85;12.87;9;1;8.2;0.911;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;06;0.84;EN_weakmod;17.59;25.01;11.18;16.4;1;15.2;0.927;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;07;1.12;EN_weakmod;18.67;26.18;11.81;6;2;4.2;0.7;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;08;1.37;EN_weakmod;20.77;27.92;14.06;21;4;8.6;0.41;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;09;1.6;EN_strong;24.4;31.57;17.52;5.6;2;4.2;0.75;25;25
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;10;1.83;EN_strong;NaN;NaN;NaN;NaN;NaN;NaN;;0;0
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;11;1.99;EN_strong;25.83;32.7;20.06;150.4;8;80.2;0.533;20;20
A524;FORMIGA;-20,455;-45,45388888;878,14;2023;12;2.06;EN_strong;24.94;30.78;20.19;24.2;5;8.6;0.355;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;01;1.92;EN_strong;23.54;29.07;19.55;22.6;5;9;0.398;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;02;1.62;EN_strong;23.45;29.2;19.31;42.6;5;16.6;0.39;29;29
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;03;1.26;EN_weakmod;23.9;29.43;20.28;193.8;16;94.8;0.489;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;04;0.82;EN_weakmod;22.95;29.12;18.1;33.2;4;25.6;0.771;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;05;0.49;neutral;21.69;28.79;15.26;1.6;1;1.2;0.75;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;06;0.22;neutral;19.6;27.15;12.56;0;0;0;;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;07;0.08;neutral;19.61;27.07;12.08;0;0;0;;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;08;-0.07;neutral;20.48;28.52;12.31;0;0;0;;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;09;-0.17;neutral;24.95;32.49;17.02;11.4;1;11.4;1;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;10;-0.21;neutral;23.94;30.51;18.75;163.2;10;43.4;0.266;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;11;-0.3;neutral;22.74;27.76;18.93;210.6;12;64.4;0.306;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2024;12;-0.42;neutral;23.19;28.69;19.41;296.4;24;78;0.263;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;01;-0.45;neutral;23.35;29.53;19.44;253;20;74.4;0.294;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;02;-0.24;neutral;24.55;30.8;18.69;18.2;4;8.6;0.473;28;28
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;03;-0.06;neutral;24.01;30.34;19.25;108.2;9;58.2;0.538;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;04;0.02;neutral;21.92;27.53;17.83;104.2;11;31.6;0.303;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;05;-0.02;neutral;19.44;25.89;14.01;0;0;0;;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;06;-0.04;neutral;18.43;25.36;12.26;14.6;3;6;0.411;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;07;-0.14;neutral;17.71;25.23;10.79;12.2;2;6.8;0.557;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;08;-0.28;neutral;19.44;27.24;11.6;6.2;2;5;0.806;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;09;-0.4;neutral;22.01;29.82;14.77;18.4;4;10.4;0.565;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;10;-0.51;LN;22.45;28.99;16.88;86.6;7;30;0.346;31;31
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;11;-0.55;LN;22.6;28.92;17.7;177.4;14;32.4;0.183;30;30
A524;FORMIGA;-20,455;-45,45388888;878,14;2025;12;-0.54;LN;23.87;29.51;19.47;179.6;19;24;0.134;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;06;-0.61;LN;NaN;NaN;NaN;NaN;NaN;NaN;;4;3
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;07;-0.37;neutral;NaN;NaN;NaN;NaN;NaN;NaN;;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;08;-0.23;neutral;NaN;NaN;NaN;NaN;NaN;NaN;;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;09;-0.24;neutral;NaN;NaN;NaN;NaN;NaN;NaN;;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;10;-0.35;neutral;NaN;NaN;NaN;NaN;NaN;NaN;;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;11;-0.55;LN;NaN;NaN;NaN;NaN;NaN;NaN;;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2008;12;-0.73;LN;NaN;NaN;NaN;NaN;NaN;NaN;;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;01;-0.85;LN;22.81;29.35;18.47;300;17;56.2;0.187;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;02;-0.79;LN;23;30.36;18.08;316;13;103.6;0.328;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;03;-0.61;LN;22.91;30.5;17.89;203.6;13;79;0.388;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;04;-0.33;neutral;20.47;28.18;15.13;64;5;30;0.469;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;05;0.01;neutral;18.16;27.12;11.75;9;3;2.4;0.267;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;06;0.28;neutral;16.52;25.83;9.97;12.6;2;7.8;0.619;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;07;0.45;neutral;17.6;27.96;10.12;1.6;0;0.2;0.125;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;08;0.58;EN_weakmod;18.12;27.52;11.23;26.2;2;23.6;0.901;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;09;0.71;EN_weakmod;22.05;30.67;15.56;65;6;29;0.446;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;10;1.01;EN_weakmod;22.52;29.59;17.55;265.2;13;50.6;0.191;31;29
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;11;1.36;EN_weakmod;23.59;31.31;17.94;169.4;13;44.2;0.261;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2009;12;1.56;EN_strong;22.25;28.36;18.51;537;21;87.2;0.162;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;01;1.5;EN_strong;23.47;31.38;17.89;157.2;7;61.4;0.391;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;02;1.22;EN_weakmod;23.78;32.28;17.58;9.2;2;7.2;0.783;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;03;0.84;EN_weakmod;22.88;30.36;18.09;252.6;14;59;0.234;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;04;0.35;neutral;20.38;29.16;14.4;63.4;3;50.2;0.792;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;05;-0.17;neutral;17.85;27.04;11.43;58.2;5;32.8;0.564;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;06;-0.66;LN;14.97;25.41;7.28;3.8;1;1.4;0.368;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;07;-1.05;LN;16.48;26.38;8.86;1.4;0;0.2;0.143;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;08;-1.35;LN;16.3;28.09;7.28;0.8;0;0.6;0.75;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;09;-1.56;LN;19.61;29.37;11.88;74.8;4;39.4;0.527;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;10;-1.64;LN;21.95;29.78;16.35;172;11;48.4;0.281;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;11;-1.64;LN;21.72;27.92;17.59;295;16;89.6;0.304;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2010;12;-1.54;LN;23.4;30.49;18.83;193;10;55.4;0.287;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;01;-1.31;LN;22.93;29.79;18.1;291.2;11;48.4;0.166;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;02;-1.04;LN;23.93;32.53;17.46;53.4;6;19.4;0.363;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;03;-0.8;LN;22.28;28.98;18.36;362;15;81.2;0.224;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;04;-0.62;LN;21.05;29.24;15.29;37.4;4;11.4;0.305;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;05;-0.46;neutral;17.93;27.31;11.3;3.4;0;0.8;0.235;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;06;-0.37;neutral;16.19;26.09;9.04;16.2;2;10.6;0.654;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;07;-0.43;neutral;16.01;26.79;8.01;1.2;0;0.2;0.167;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;08;-0.58;LN;18.64;30.13;9.79;0.6;0;0.4;0.667;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;09;-0.79;LN;19.5;30.19;10.64;0.6;0;0.4;0.667;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;10;-0.96;LN;21.08;27.93;16.14;174.8;11;40.8;0.233;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;11;-1.02;LN;20.5;27.68;15.39;424.2;14;78.2;0.184;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2011;12;-0.92;LN;21.74;27.63;18.18;783.2;20;155;0.198;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;01;-0.72;LN;22.03;28.6;17.29;384.2;18;82.8;0.216;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;02;-0.57;LN;22.68;30.67;16.56;43.2;5;29;0.671;29;29
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;03;-0.46;neutral;22.17;29.77;16.82;184.6;12;32.8;0.178;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;04;-0.36;neutral;21.1;29.19;15.54;35.2;8;11.8;0.335;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;05;-0.17;neutral;17.75;25.55;12.19;30.2;5;13.8;0.457;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;06;0.06;neutral;17.8;26.56;11.75;50.4;4;22.2;0.44;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;07;0.3;neutral;15.96;26.78;7.95;1.2;0;0.2;0.167;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;08;0.41;neutral;16.58;26.34;8.6;1.2;0;0.6;0.5;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;09;0.41;neutral;20.33;30.44;12.17;39.8;4;29;0.729;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;10;0.31;neutral;21.99;31.15;14.63;78.2;6;43.2;0.552;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;11;0.13;neutral;22.27;28.98;17.74;306;18;63.4;0.207;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2012;12;-0.1;neutral;24.25;32.01;18.77;213;10;93.4;0.438;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;01;-0.29;neutral;22.69;29.35;18.63;299.6;20;60;0.2;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;02;-0.29;neutral;23.4;31.66;17.14;94.8;5;33.6;0.354;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;03;-0.21;neutral;23;29.39;18.8;122.8;15;52.6;0.428;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;04;-0.19;neutral;19.95;27.48;14.81;90.8;10;34.6;0.381;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;05;-0.27;neutral;18.5;27.16;12.18;75.2;4;46.6;0.62;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;06;-0.34;neutral;17.8;26.97;11.4;26;3;18.6;0.715;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;07;-0.35;neutral;17.32;27.34;9.94;3;0;0.8;0.267;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;08;-0.28;neutral;17.8;28.38;9.58;0.4;0;0.2;0.5;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;09;-0.21;neutral;19.98;29.11;12.71;46.8;4;22.8;0.487;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;10;-0.13;neutral;20.65;28.42;14.95;131.8;9;50.8;0.385;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;11;-0.1;neutral;21.88;29.07;16.64;165.6;12;33.6;0.203;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2013;12;-0.15;neutral;22.82;29.04;18.87;377.4;18;75.6;0.2;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;01;-0.28;neutral;23.08;31.67;16.44;121;8;72;0.595;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;02;-0.32;neutral;22.94;31.92;16.05;5.8;2;2.4;0.414;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;03;-0.14;neutral;22.12;29.7;17.05;183;12;61.2;0.334;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;04;0.15;neutral;21.11;28.88;15.98;88.4;8;22.2;0.251;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;05;0.31;neutral;17.93;27.63;10.95;12.4;2;6;0.484;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;06;0.23;neutral;17.1;27.27;9.88;6.2;1;4.6;0.742;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;07;0.1;neutral;16.2;25.54;9.08;66;3;27.6;0.418;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;08;0.11;neutral;17.31;28.66;8.62;1.6;0;0.8;0.5;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;09;0.28;neutral;20.67;30.81;11.82;4.2;1;4.2;1;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;10;0.54;EN_weakmod;21.88;30.98;14.16;189.2;5;137.8;0.728;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;11;0.71;EN_weakmod;22.23;29.45;16.91;323.2;17;54.6;0.169;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2014;12;0.77;EN_weakmod;22.81;30.16;17.38;153;10;60.2;0.393;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;01;0.69;EN_weakmod;23.91;33.08;16.87;229.8;9;80;0.348;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;02;0.61;EN_weakmod;22.77;29.92;17.97;156.8;10;37.2;0.237;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;03;0.65;EN_weakmod;22.55;29.45;17.86;218.4;13;51.8;0.237;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;04;0.81;EN_weakmod;21.04;28.58;15.79;32.4;7;12.8;0.395;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;05;1.02;EN_weakmod;18.34;26;12.88;40.6;4;16.8;0.414;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;06;1.25;EN_weakmod;17.04;25.97;10.57;11.8;2;8.6;0.729;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;07;1.57;EN_strong;17.41;27.1;10.34;1.8;0;0.6;0.333;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;08;1.91;EN_strong;18.29;28.59;9.87;1.8;1;1.4;0.778;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;09;2.21;EN_strong;21.72;31.32;14.29;87;3;48.4;0.556;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;10;2.47;EN_strong;23.89;33.55;16.01;48;4;17.6;0.367;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;11;2.64;EN_strong;24.07;31.59;18.65;311.8;10;88.2;0.283;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2015;12;2.75;EN_strong;23.86;31.14;18.83;134;15;36.4;0.272;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;01;2.63;EN_strong;23;29.09;19.19;536.8;20;90;0.168;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;02;2.28;EN_strong;24.24;32.21;18.41;65.2;8;16.4;0.252;29;29
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;03;1.71;EN_strong;22.87;30.16;18.06;135;11;47.4;0.351;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;04;1.05;EN_weakmod;21.66;30.67;15.06;24.6;2;15;0.61;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;05;0.49;neutral;19.04;28.16;12.71;22;2;18.2;0.827;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;06;0;neutral;16.73;25.63;10.67;50.8;3;36.6;0.72;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;07;-0.31;neutral;16.83;27.87;8.45;1.4;0;0.2;0.143;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;08;-0.5;LN;18.49;29.26;10.13;2;1;1.8;0.9;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;09;-0.58;LN;21.43;30.98;13.91;75.4;7;32.4;0.43;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;10;-0.64;LN;22.69;30.63;16.79;147;10;34.8;0.237;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;11;-0.6;LN;22.06;28.77;17.68;248.2;18;57.2;0.23;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2016;12;-0.45;neutral;22.69;29.71;17.57;325.4;12;121.8;0.374;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;01;-0.19;neutral;23.58;31.29;17.82;168.8;7;37;0.219;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;02;-0.02;neutral;22.51;29.81;17.44;139;12;43.6;0.314;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;03;0.18;neutral;22.34;30.54;16.37;147.4;6;78.6;0.533;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;04;0.31;neutral;21.2;29.11;15.58;33.2;4;28;0.843;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;05;0.4;neutral;18.77;26.95;12.82;36.6;4;20.4;0.557;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;06;0.39;neutral;17.13;26.81;10.25;25.4;3;14.2;0.559;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;07;0.19;neutral;15.03;24.39;7.45;0;0;0;;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;08;-0.07;neutral;18.16;29.13;9.46;0;0;0;;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;09;-0.34;neutral;18.95;29.25;10.07;27.4;3;19.2;0.701;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;10;-0.6;LN;22.8;31.65;15.31;105.4;5;50.6;0.48;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;11;-0.77;LN;21.91;28.02;17.5;151.8;16;66.8;0.44;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2017;12;-0.86;LN;23.1;29.59;18.59;174.6;11;60.2;0.345;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;01;-0.77;LN;23.27;30.74;17.97;217.4;11;65.4;0.301;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;02;-0.71;LN;22.4;28.85;18.2;327.4;15;137.6;0.42;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;03;-0.57;LN;23.06;30.32;18.47;198.4;11;55;0.277;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;04;-0.39;neutral;20.67;28.53;15;9.4;2;6.8;0.723;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;05;-0.13;neutral;17.61;27.08;10.77;24.8;3;14.8;0.597;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;06;0.06;neutral;17.78;26.91;11.6;0;0;0;;27;25
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;07;0.14;neutral;16.48;27.32;9.81;0;0;0;;24;24
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;08;0.27;neutral;17.66;27.48;10.6;11.2;1;10;0.893;23;23
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;09;0.53;EN_weakmod;20.85;29.55;14.09;81;8;26.6;0.328;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;10;0.81;EN_weakmod;22.88;30.25;17.92;69.6;6;27.2;0.391;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;11;0.97;EN_weakmod;21.65;27.71;17.34;339.6;15;67.2;0.198;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2018;12;0.92;EN_weakmod;22.93;30.27;17.81;426.6;16;137.4;0.322;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;01;0.89;EN_weakmod;23.97;32.44;17.73;60.4;5;34.6;0.573;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;02;0.86;EN_weakmod;23.48;30.72;18.7;322.6;15;73.6;0.228;28;28
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;03;0.84;EN_weakmod;22.93;30.38;18.07;235.2;13;75.2;0.32;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;04;0.77;EN_weakmod;22.05;30.01;16.77;127.4;7;40.4;0.317;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;05;0.64;EN_weakmod;20;28.42;14.37;60.8;7;42.4;0.697;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;06;0.52;EN_weakmod;16.96;26.54;10.04;19;1;17.4;0.916;30;30
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;07;0.33;neutral;15.35;26.19;7.39;1.2;0;0.2;0.167;31;31
A535;FLORESTAL;-19,88527777;-44,41694443;753,5;2019;08;0.19;neutral;18.43;28.22;10.86;0.6;0;0.4;0.667;31;31
